<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,is_bullish_marubozu,is_bearish_marubozu,is_morning_star,is_evening_star,is_bullish_engulfing,is_bearish_engulfing,is_hammer,is_hanging_man,is_piercing,is_dark_cloud
2006.02.06,1.2033,1.205,1.1944,1.197,9166,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.07,1.1976,1.2017,1.1942,1.1984,9006,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.08,1.1985,1.1996,1.1923,1.1958,9167,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.09,1.1958,1.1996,1.1944,1.1987,8802,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.10,1.1984,1.2028,1.1892,1.1908,9287,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.13,1.1895,1.1922,1.1877,1.1902,9046,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.14,1.19,1.1927,1.1859,1.1913,8978,0.0,20,False,False,False,False,False,False,True,False,False,False
2006.02.15,1.1914,1.1955,1.187,1.1892,9056,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.16,1.1894,1.1911,1.1848,1.1902,8903,0.0,20,False,False,False,False,False,False,True,False,False,False
2006.02.17,1.1905,1.1945,1.1857,1.1932,9185,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.20,1.1925,1.1977,1.1923,1.1937,8067,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.21,1.1937,1.194,1.189,1.1909,8404,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.22,1.1908,1.1932,1.1864,1.1912,8722,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.23,1.1909,1.1974,1.1893,1.1918,9283,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.24,1.1919,1.1935,1.1863,1.1872,8699,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.02.27,1.1866,1.188,1.1825,1.1847,9010,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.28,1.1847,1.1943,1.1833,1.1931,8937,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.01,1.1929,1.1977,1.189,1.1924,9235,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.02,1.1923,1.2048,1.1912,1.2033,9619,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.03,1.2033,1.2055,1.1995,1.2037,8641,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.06,1.205,1.2095,1.1989,1.2009,9210,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.03.07,1.2007,1.2023,1.1868,1.1887,10142,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.08,1.1887,1.1943,1.1872,1.1928,9449,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.09,1.1927,1.1954,1.1898,1.1907,9564,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.10,1.1906,1.1931,1.1859,1.1916,9095,0.0,20,False,False,False,False,False,False,True,False,False,False
2006.03.13,1.1913,1.1971,1.1911,1.1961,9376,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.14,1.1961,1.2034,1.1939,1.2016,10373,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.15,1.2016,1.2076,1.2005,1.2069,9996,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.16,1.207,1.2192,1.2034,1.2172,10398,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.17,1.217,1.2209,1.214,1.219,9551,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.20,1.2176,1.2199,1.2145,1.216,9791,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.21,1.2162,1.217,1.2075,1.2108,10394,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.22,1.2113,1.2116,1.2064,1.208,9710,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.23,1.2078,1.2084,1.1954,1.1968,9821,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.24,1.1969,1.2049,1.1951,1.204,9062,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.27,1.2039,1.2064,1.2003,1.2014,9746,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.28,1.2019,1.211,1.1991,1.2,10222,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.29,1.1998,1.2051,1.198,1.2025,9309,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.30,1.2023,1.2175,1.202,1.2162,10663,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.03.31,1.2165,1.2178,1.2082,1.2116,10699,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.03,1.2119,1.2151,1.2031,1.2133,10207,0.0,20,False,False,False,False,False,False,True,False,False,False
2006.04.04,1.2132,1.2279,1.2119,1.2261,9977,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.05,1.2259,1.2308,1.2242,1.2292,10757,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.06,1.229,1.2335,1.2196,1.2219,10882,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.07,1.2218,1.2227,1.2088,1.2093,10548,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.10,1.2106,1.2132,1.2075,1.2114,9662,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.11,1.2117,1.2156,1.209,1.2139,9832,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.12,1.2141,1.217,1.2065,1.2105,9208,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.04.13,1.2104,1.2135,1.2069,1.2107,9647,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.14,1.2108,1.212,1.2093,1.2111,6963,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.17,1.2122,1.2289,1.2119,1.2256,8994,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.18,1.2253,1.2372,1.2223,1.2367,10158,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.19,1.2364,1.2396,1.2284,1.2379,10746,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.20,1.2377,1.2381,1.2286,1.2314,9984,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.21,1.2315,1.2363,1.2268,1.234,9818,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.24,1.2371,1.2418,1.2333,1.2384,10346,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.25,1.2383,1.2442,1.2366,1.2428,10449,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.26,1.2429,1.2473,1.2385,1.2447,10645,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.27,1.2447,1.255,1.2403,1.2528,9974,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.04.28,1.2527,1.2643,1.252,1.2635,9991,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.01,1.2629,1.2693,1.2555,1.2568,9102,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.02,1.2567,1.2669,1.2557,1.2612,10471,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.03,1.2607,1.2672,1.259,1.2629,10398,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.04,1.2631,1.2726,1.2571,1.2696,10362,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.05,1.2697,1.2766,1.2672,1.2727,10090,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.08,1.2744,1.279,1.2692,1.2701,10248,0.0,20,False,False,False,False,False,False,False,False,False,True
2006.05.09,1.2704,1.2785,1.266,1.2763,9675,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.10,1.2762,1.2836,1.275,1.2782,10135,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.11,1.2783,1.2876,1.2684,1.2836,10095,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.12,1.2838,1.296,1.283,1.2926,10474,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.15,1.2947,1.2973,1.2778,1.28,10040,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.05.16,1.28,1.287,1.2769,1.286,10150,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.17,1.2859,1.2921,1.2701,1.2725,10642,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.18,1.2729,1.2876,1.2724,1.2855,10072,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.19,1.2855,1.2866,1.2692,1.2771,10082,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.22,1.2763,1.2888,1.2694,1.286,9779,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.23,1.2859,1.288,1.2783,1.2788,10078,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.24,1.2785,1.2895,1.2728,1.2758,11002,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.25,1.2757,1.2828,1.2748,1.2824,9881,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.26,1.2826,1.2836,1.27,1.2737,9858,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.29,1.2732,1.2771,1.2718,1.2749,8909,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.05.30,1.275,1.2911,1.2741,1.2875,10538,0.0,20,False,False,True,False,False,False,False,False,False,False
2006.05.31,1.2875,1.2905,1.2803,1.2817,10710,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.01,1.2817,1.2826,1.2722,1.2816,10571,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.02,1.2814,1.2941,1.2794,1.2922,9917,0.0,20,False,False,False,False,True,False,False,False,False,False
2006.06.05,1.2927,1.2981,1.2898,1.2905,10340,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.06,1.2902,1.2937,1.2807,1.2824,10243,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.07,1.2827,1.2839,1.2759,1.2802,9775,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.08,1.2803,1.281,1.2625,1.2649,11059,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.09,1.2653,1.2686,1.2597,1.2642,10103,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.12,1.2615,1.2654,1.2565,1.2581,8890,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.13,1.258,1.2621,1.253,1.2543,9994,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.14,1.2545,1.265,1.2533,1.2607,10465,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.15,1.2607,1.2661,1.2579,1.2631,10271,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.16,1.2632,1.2676,1.2617,1.2647,9306,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.19,1.2649,1.2654,1.2552,1.2575,9582,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.20,1.2575,1.262,1.2538,1.2583,9495,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.21,1.2587,1.2682,1.2579,1.2667,9214,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.22,1.267,1.2682,1.255,1.257,9608,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.23,1.2571,1.259,1.2478,1.251,9202,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.26,1.2506,1.2606,1.2501,1.259,9950,0.0,20,False,False,False,False,True,False,False,False,False,False
2006.06.27,1.2589,1.262,1.2561,1.2576,10011,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.28,1.2576,1.2587,1.2514,1.2548,8919,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.29,1.2549,1.2673,1.2519,1.2668,9900,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.06.30,1.2664,1.2799,1.2656,1.279,9958,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.03,1.2788,1.2824,1.276,1.2793,9290,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.04,1.2794,1.2826,1.2786,1.279,9242,0.0,20,False,False,False,False,False,False,False,False,False,True
2006.07.05,1.2794,1.2841,1.2705,1.2724,10344,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.06,1.2722,1.2785,1.2719,1.2779,9823,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.07,1.2778,1.2864,1.2765,1.281,9535,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.10,1.2813,1.282,1.2718,1.274,9591,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.07.11,1.2739,1.2781,1.2705,1.2768,10120,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.12,1.2767,1.2781,1.2674,1.2701,9831,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.13,1.2702,1.2733,1.2662,1.2694,9384,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.14,1.2692,1.27,1.2626,1.265,9209,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.17,1.2638,1.2647,1.2509,1.2522,9123,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.18,1.2521,1.2561,1.2473,1.2508,9684,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.19,1.2509,1.2612,1.2457,1.2593,10103,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.20,1.2594,1.2656,1.2588,1.2628,10095,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.21,1.2629,1.2708,1.2626,1.27,9607,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.24,1.2704,1.2708,1.261,1.2634,9166,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.25,1.2633,1.2677,1.2562,1.2581,9687,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.26,1.2583,1.2727,1.2559,1.2713,9905,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.27,1.2715,1.2775,1.268,1.2698,9609,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.28,1.2698,1.2774,1.2659,1.2762,9329,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.07.31,1.2765,1.2786,1.2739,1.2767,9222,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.01,1.2769,1.2833,1.272,1.2822,9522,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.02,1.2826,1.2838,1.2775,1.279,9481,0.0,20,False,False,False,False,False,False,False,False,False,True
2006.08.03,1.2789,1.2836,1.2741,1.2803,9574,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.04,1.2804,1.2912,1.2776,1.2874,9557,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.07,1.2884,1.2895,1.2814,1.2818,9372,0.0,20,False,False,False,False,False,False,False,False,False,True
2006.08.08,1.2818,1.2894,1.2806,1.2822,9946,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.09,1.2823,1.2905,1.2764,1.2864,9658,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.10,1.2863,1.2915,1.2746,1.2793,10190,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.11,1.2795,1.2802,1.2715,1.2721,9586,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.14,1.2712,1.2764,1.2707,1.2724,8908,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.15,1.2722,1.2807,1.2694,1.2786,9410,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.16,1.2785,1.2867,1.2768,1.2844,9251,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.17,1.2843,1.289,1.2813,1.2826,9334,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.18,1.2827,1.2848,1.2781,1.2825,8769,0.0,20,False,False,False,False,False,False,False,True,False,False
2006.08.21,1.2827,1.2942,1.2825,1.2886,9400,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.22,1.2888,1.2889,1.2782,1.2808,9586,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.08.23,1.2811,1.2854,1.2774,1.2787,9581,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.24,1.2789,1.2841,1.2752,1.2765,9665,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.25,1.2765,1.2785,1.2723,1.2754,9385,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.28,1.2761,1.2823,1.2754,1.2786,8803,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.29,1.2789,1.2841,1.2749,1.283,9599,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.30,1.283,1.2855,1.2812,1.2837,9837,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.08.31,1.2841,1.2881,1.2785,1.2806,10064,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.01,1.2809,1.285,1.2755,1.2836,9421,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.04,1.2846,1.2877,1.2838,1.286,8215,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.05,1.2859,1.2867,1.2795,1.2816,8980,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.06,1.2815,1.2836,1.2769,1.2805,9138,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.07,1.2804,1.2835,1.2706,1.2734,10064,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.08,1.2736,1.2746,1.265,1.2674,9977,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.11,1.2666,1.2745,1.2648,1.2702,8858,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.12,1.2699,1.2735,1.2671,1.2689,9330,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.13,1.2684,1.2719,1.2664,1.27,9207,0.0,20,False,False,False,False,True,False,False,False,False,False
2006.09.14,1.2699,1.2756,1.2675,1.2723,9193,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.15,1.2726,1.274,1.263,1.2659,9257,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.18,1.2637,1.2712,1.2629,1.2702,8734,0.0,20,False,False,False,False,False,False,False,False,True,False
2006.09.19,1.2704,1.2726,1.265,1.2671,11104,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.20,1.2672,1.2727,1.2665,1.2688,10514,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.21,1.269,1.2798,1.2682,1.278,11358,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.22,1.2781,1.283,1.2776,1.2783,10839,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.25,1.2789,1.2819,1.2731,1.2745,9935,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.09.26,1.2747,1.2761,1.2662,1.2682,10657,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.27,1.2684,1.2717,1.267,1.2701,10637,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.28,1.2699,1.2732,1.2678,1.2694,10981,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.09.29,1.2695,1.2714,1.2639,1.2673,10469,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.02,1.2683,1.2761,1.2662,1.2736,9716,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.03,1.2737,1.2764,1.2719,1.2729,9030,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.04,1.273,1.2738,1.2668,1.2711,9964,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.05,1.2712,1.2725,1.2671,1.2692,8208,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.06,1.2689,1.2714,1.2574,1.2599,6393,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.09,1.2588,1.2612,1.2584,1.2593,4765,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.10,1.2594,1.2612,1.2517,1.2533,6436,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.11,1.2531,1.2556,1.2502,1.2523,6557,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.12,1.2522,1.2563,1.2516,1.2558,6172,0.0,20,False,False,True,False,True,False,False,False,False,False
2006.10.13,1.2557,1.2577,1.2483,1.2512,5931,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.16,1.2501,1.2536,1.2488,1.2532,5278,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.17,1.2533,1.2564,1.2508,1.2536,6857,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.18,1.2537,1.2557,1.2502,1.2533,5990,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.19,1.2531,1.2641,1.253,1.2621,6287,0.0,20,False,False,False,False,True,False,False,False,False,False
2006.10.20,1.2623,1.264,1.2596,1.2616,5851,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.23,1.2615,1.2621,1.2535,1.2549,5825,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.24,1.2553,1.2575,1.2524,1.2553,5634,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.25,1.2554,1.2621,1.2551,1.2608,6238,0.0,20,False,False,True,False,False,False,False,False,False,False
2006.10.26,1.2607,1.2701,1.2605,1.2687,7003,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.27,1.2689,1.2749,1.2662,1.274,7243,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.30,1.273,1.2734,1.2698,1.2715,5958,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.10.31,1.2716,1.2782,1.2677,1.2765,7336,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.01,1.2764,1.2797,1.2742,1.2754,5827,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.02,1.2755,1.2784,1.2736,1.2778,6531,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.03,1.2777,1.2781,1.2681,1.2716,6638,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.06,1.2717,1.2732,1.2689,1.2732,5229,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.07,1.2733,1.2817,1.2719,1.2783,6692,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.08,1.2782,1.2806,1.2745,1.2757,6547,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.09,1.2755,1.2847,1.2749,1.2837,7340,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.10,1.2835,1.2899,1.2829,1.284,7379,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.13,1.2851,1.2878,1.2795,1.2806,10060,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.11.14,1.2808,1.2869,1.2789,1.281,8023,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.15,1.2809,1.2833,1.2772,1.283,6822,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.16,1.2831,1.2839,1.2783,1.2797,7042,0.0,20,False,False,False,False,False,True,False,False,False,False
2006.11.17,1.2796,1.2844,1.2761,1.2828,6774,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.20,1.2825,1.285,1.2804,1.2819,5832,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.21,1.2818,1.2853,1.2797,1.2847,6009,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.22,1.2846,1.2956,1.2836,1.2942,7654,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.23,1.2941,1.2974,1.2927,1.2948,6260,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.24,1.2952,1.3109,1.2946,1.3093,8160,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.27,1.3156,1.3161,1.3086,1.3132,8985,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.28,1.3126,1.3208,1.3118,1.3192,10195,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.11.29,1.3193,1.3217,1.3131,1.3152,8798,0.0,20,False,False,False,False,False,False,False,False,False,True
2006.11.30,1.3151,1.3273,1.314,1.3238,8760,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.01,1.3238,1.3347,1.3219,1.3336,8919,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.04,1.3362,1.3363,1.3281,1.334,8392,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.05,1.3339,1.3361,1.3286,1.3315,9367,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.06,1.3314,1.334,1.3254,1.3279,8674,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.07,1.328,1.3323,1.3275,1.3283,7903,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.08,1.3282,1.3364,1.3189,1.3202,9646,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.11,1.3182,1.3261,1.313,1.325,8847,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.12,1.3248,1.3291,1.3212,1.3282,9093,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.12.13,1.3283,1.3287,1.319,1.3207,8318,0.0,20,False,False,False,False,False,True,False,False,False,False
